link,collision_strategy,collision_effective_strategy,collision_geometry,collision_notes,mesh_format,stl_quality,mesh_reduction_ratio,stl_custom,deviation_m,angle_tolerance_rad,baseline_estimated_visual_bytes,baseline_estimated_visual_triangles,estimated_visual_bytes,estimated_visual_triangles,estimate_error_percent,estimated_reduction_percent,actual_reduction_percent,visual_uri,collision_uri,collision_urdf_reference,visual_windows_path,collision_windows_path,visual_exists,collision_exists,visual_bytes,collision_bytes,visual_triangles,collision_triangles,collision_vs_visual_bytes_reduction_percent,collision_vs_visual_triangles_reduction_percent,original_visual_bytes,original_visual_triangles,target_visual_triangles,mesh_reduction_status,mesh_reduction_warning
base_link,ComponentBoxes,ComponentBoxes,component_box_set_stl,ok,STL,coarse,0.7,false,,,,,,,,,66.8630095596458,package://osracer_description/meshes/visual/base_link.STL,package://osracer_description/meshes/collision/base_link.STL,package://osracer_description/meshes/collision/base_link.STL,package://osracer_description/meshes/visual/base_link.STL,package://osracer_description/meshes/collision/base_link.STL,true,true,10638284,127284,212764,2544,98.8035288398016,98.8043089996428,32103784,642074,192623,reduced,Some regions failed reduction or quality checks and were retained exactly.
camera_link,SimplifiedMesh,SimplifiedMesh,simplified_stl,target removal=70 %; triangles=2598->780; bytes=129984->39084; status=reduced; limited=False; reason=,STL,coarse,0.7,false,,,,,,,,,69.9769053117783,package://osracer_description/meshes/visual/camera_link.STL,package://osracer_description/meshes/collision/camera_link.STL,package://osracer_description/meshes/collision/camera_link.STL,package://osracer_description/meshes/visual/camera_link.STL,package://osracer_description/meshes/collision/camera_link.STL,true,true,39084,39084,780,780,0,0,129984,2598,780,reduced,
laser,SimplifiedMesh,SimplifiedMesh,simplified_stl,target removal=70 %; triangles=4332->1300; bytes=216684->65084; status=reduced; limited=False; reason=,STL,coarse,0.7,false,,,,,,,,,69.9907663896584,package://osracer_description/meshes/visual/laser.STL,package://osracer_description/meshes/collision/laser.STL,package://osracer_description/meshes/collision/laser.STL,package://osracer_description/meshes/visual/laser.STL,package://osracer_description/meshes/collision/laser.STL,true,true,65084,65084,1300,1300,0,0,216684,4332,1300,reduced,
imu_link,BoxPrimitive,BoxPrimitive,box_primitive_stl,ok,STL,coarse,0.7,false,,,,,,,,,31.9068166277617,package://osracer_description/meshes/visual/imu_link.STL,package://osracer_description/meshes/collision/imu_link.STL,package://osracer_description/meshes/collision/imu_link.STL,package://osracer_description/meshes/visual/imu_link.STL,package://osracer_description/meshes/collision/imu_link.STL,true,true,4331934,684,86637,12,99.9842102857523,99.9861491048859,6361734,127233,38170,reduced,Some regions failed reduction or quality checks and were retained exactly.
left_steering_hinge_link,VisualMesh,VisualMesh,visual_mesh_copy,ok,STL,coarse,0.7,false,,,,,,,,,30.0335570469799,package://osracer_description/meshes/visual/left_steering_hinge_link.STL,package://osracer_description/meshes/collision/left_steering_hinge_link.STL,package://osracer_description/meshes/collision/left_steering_hinge_link.STL,package://osracer_description/meshes/visual/left_steering_hinge_link.STL,package://osracer_description/meshes/collision/left_steering_hinge_link.STL,true,true,41784,41784,834,834,0,0,59684,1192,358,reduced,
left_front_wheel_link,CylinderPrimitive,CylinderPrimitive,cylinder_primitive_stl,ok,STL,coarse,0.7,false,,,,,,,,,55.0198150594452,package://osracer_description/meshes/visual/left_front_wheel_link.STL,package://osracer_description/meshes/collision/left_front_wheel_link.STL,package://osracer_description/meshes/collision/left_front_wheel_link.STL,package://osracer_description/meshes/visual/left_front_wheel_link.STL,package://osracer_description/meshes/collision/left_front_wheel_link.STL,true,true,272484,4884,5448,96,98.2076011802528,98.2378854625551,605684,12112,3634,reduced,
right_steering_hinge_link,VisualMesh,VisualMesh,visual_mesh_copy,ok,STL,coarse,0.7,false,,,,,,,,,35.0671140939597,package://osracer_description/meshes/visual/right_steering_hinge_link.STL,package://osracer_description/meshes/collision/right_steering_hinge_link.STL,package://osracer_description/meshes/collision/right_steering_hinge_link.STL,package://osracer_description/meshes/visual/right_steering_hinge_link.STL,package://osracer_description/meshes/collision/right_steering_hinge_link.STL,true,true,38784,38784,774,774,0,0,59684,1192,358,reduced,
right_front_wheel_link,CylinderPrimitive,CylinderPrimitive,cylinder_primitive_stl,ok,STL,coarse,0.7,false,,,,,,,,,56.3738441215324,package://osracer_description/meshes/visual/right_front_wheel_link.STL,package://osracer_description/meshes/collision/right_front_wheel_link.STL,package://osracer_description/meshes/collision/right_front_wheel_link.STL,package://osracer_description/meshes/visual/right_front_wheel_link.STL,package://osracer_description/meshes/collision/right_front_wheel_link.STL,true,true,264284,4884,5284,96,98.1519880128952,98.1831945495836,605684,12112,3634,reduced,
left_rear_wheel_link,CylinderPrimitive,CylinderPrimitive,cylinder_primitive_stl,ok,STL,coarse,0.7,false,,,,,,,,,57.7443857331572,package://osracer_description/meshes/visual/left_rear_wheel_link.STL,package://osracer_description/meshes/collision/left_rear_wheel_link.STL,package://osracer_description/meshes/collision/left_rear_wheel_link.STL,package://osracer_description/meshes/visual/left_rear_wheel_link.STL,package://osracer_description/meshes/collision/left_rear_wheel_link.STL,true,true,255984,4884,5118,96,98.0920682542659,98.1242672919109,605684,12112,3634,reduced,
right_rear_wheel_link,CylinderPrimitive,CylinderPrimitive,cylinder_primitive_stl,ok,STL,coarse,0.7,false,,,,,,,,,57.7443857331572,package://osracer_description/meshes/visual/right_rear_wheel_link.STL,package://osracer_description/meshes/collision/right_rear_wheel_link.STL,package://osracer_description/meshes/collision/right_rear_wheel_link.STL,package://osracer_description/meshes/visual/right_rear_wheel_link.STL,package://osracer_description/meshes/collision/right_rear_wheel_link.STL,true,true,255984,4884,5118,96,98.0920682542659,98.1242672919109,605684,12112,3634,reduced,
